split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,gnn_with_format,0.001,1523,1523171,1666,24,0.014405762304921969,0.015758371634931056,218,152,0.00984898227183191,0.021667760998030205,0.0871559633027523,0.05045871559633028,0.12385321100917432,0.01834862385321101,0.0045871559633027525,0.03669724770642202,0.07339449541284404,0.04128440366972477,0.11009174311926606
HI-Small,gnn_with_format,0.005,7616,1523171,1666,76,0.04561824729891957,0.009978991596638655,218,152,0.0077468487394957986,0.012214417016806705,0.24311926605504589,0.1834862385321101,0.2981651376146789,0.06422018348623854,0.03211009174311927,0.09644495412843974,0.16972477064220184,0.11926605504587157,0.22018348623853212
HI-Small,gnn_with_format,0.01,15232,1523171,1666,104,0.062424969987995196,0.006827731092436975,218,152,0.005449054621848739,0.00820640756302521,0.3073394495412844,0.24770642201834864,0.37155963302752293,0.07339449541284404,0.04128440366972477,0.11009174311926606,0.1926605504587156,0.14220183486238533,0.24770642201834864
