split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,gnn_without_format,0.001,1523,1523171,1666,5,0.003001200480192077,0.003282994090610637,218,152,0.0006565988181221273,0.006565988181221274,0.022935779816513763,0.0045871559633027525,0.041399082568806714,0.0,0.0,0.0,0.0045871559633027525,0.0,0.013761467889908258
HI-Small,gnn_without_format,0.005,7616,1523171,1666,15,0.00900360144057623,0.0019695378151260504,218,152,0.0010504201680672268,0.0030199579831932774,0.05045871559633028,0.022935779816513763,0.08256880733944955,0.0045871559633027525,0.0,0.013761467889908258,0.0045871559633027525,0.0,0.013761467889908258
HI-Small,gnn_without_format,0.01,15232,1523171,1666,33,0.019807923169267706,0.0021664915966386556,218,152,0.001444327731092437,0.002888655462184874,0.0963302752293578,0.05963302752293578,0.13761467889908258,0.022935779816513763,0.0045871559633027525,0.045871559633027525,0.03211009174311927,0.009174311926605505,0.05504587155963303
