split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,gnn_with_format,0.001,1523,1523171,1666,24,0.014405762304921969,0.015758371634931056,218,152,0.00984898227183191,0.02232435981615233,0.08256880733944955,0.05045871559633028,0.11926605504587157,0.022935779816513763,0.0045871559633027525,0.045871559633027525,0.06422018348623854,0.03211009174311927,0.10091743119266056
HI-Small,gnn_with_format,0.005,7616,1523171,1666,79,0.047418967587034816,0.010372899159663865,218,152,0.008140756302521009,0.012736344537815126,0.25229357798165136,0.1926605504587156,0.3119266055045872,0.05504587155963303,0.027522935779816515,0.0871559633027523,0.1559633027522936,0.10550458715596331,0.20642201834862386
HI-Small,gnn_with_format,0.01,15232,1523171,1666,140,0.08403361344537816,0.009191176470588236,218,152,0.007681197478991596,0.01070279674369747,0.3853211009174312,0.32098623853211034,0.44954128440366975,0.11467889908256881,0.07339449541284404,0.16055045871559634,0.21559633027522937,0.16055045871559634,0.27522935779816515
