split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,gnn_without_format,0.001,1523,1523171,1666,15,0.00900360144057623,0.00984898227183191,218,152,0.005252790544977019,0.015101772816808929,0.045871559633027525,0.022935779816513763,0.07339449541284404,0.013761467889908258,0.0,0.03211009174311927,0.04128440366972477,0.01834862385321101,0.06880733944954129
HI-Small,gnn_without_format,0.005,7616,1523171,1666,34,0.02040816326530612,0.004464285714285714,218,152,0.0030199579831932774,0.006039915966386555,0.09174311926605505,0.05504587155963303,0.12844036697247707,0.03211009174311927,0.013761467889908258,0.05504587155963303,0.0871559633027523,0.05045871559633028,0.12844036697247707
HI-Small,gnn_without_format,0.01,15232,1523171,1666,54,0.03241296518607443,0.0035451680672268907,218,152,0.0026260504201680674,0.004529936974789916,0.12844036697247707,0.0871559633027523,0.17889908256880735,0.04128440366972477,0.01834862385321101,0.06880733944954129,0.12385321100917432,0.08256880733944955,0.16972477064220184
