cycle,train_transactions_seen,variant,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,txn_recall
1,3446384,txn_with_format,0.06880733944954129,0.03669724770642202,0.10550458715596331,0.012605042016806723
1,3446384,txn_without_format,0.05963302752293578,0.03211009174311927,0.09174311926605505,0.00900360144057623
1,3446384,graph_with_format,0.23853211009174313,0.1834862385321101,0.29357798165137616,0.05942376950780312
1,3446384,graph_without_format,0.05504587155963303,0.027522935779816515,0.0871559633027523,0.014405762304921969
1,3446384,gnn_with_format,0.027522935779816515,0.009174311926605505,0.05045871559633028,0.003601440576230492
1,3446384,gnn_without_format,0.0,0.0,0.0,0.0
2,4016318,txn_with_format,0.43577981651376146,0.37155963302752293,0.5,0.10684273709483794
2,4016318,txn_without_format,0.07339449541284404,0.04128440366972477,0.11009174311926606,0.013805522208883553
2,4016318,graph_with_format,0.2018348623853211,0.15137614678899083,0.25688073394495414,0.05582232893157263
2,4016318,graph_without_format,0.13761467889908258,0.09174311926605505,0.1834862385321101,0.025210084033613446
2,4016318,gnn_with_format,0.08256880733944955,0.05045871559633028,0.11926605504587157,0.014405762304921969
2,4016318,gnn_without_format,0.045871559633027525,0.022935779816513763,0.07339449541284404,0.00900360144057623
3,5077237,txn_with_format,0.45871559633027525,0.38990825688073394,0.5229357798165137,0.10504201680672269
3,5077237,txn_without_format,0.03669724770642202,0.013761467889908258,0.06422018348623854,0.004801920768307323
3,5077237,graph_with_format,0.22018348623853212,0.1651376146788991,0.27522935779816515,0.07082833133253301
3,5077237,graph_without_format,0.3165137614678899,0.25688073394495414,0.3761467889908257,0.08823529411764706
3,5077237,gnn_with_format,0.0871559633027523,0.05045871559633028,0.12385321100917432,0.014405762304921969
3,5077237,gnn_without_format,0.022935779816513763,0.0045871559633027525,0.041399082568806714,0.003001200480192077
