split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,txn_with_format,0.001,1523,1523171,1666,178,0.10684273709483794,0.11687458962573867,218,152,0.10111621799080761,0.13328956007879186,0.43577981651376146,0.37155963302752293,0.5,0.17889908256880735,0.12844036697247707,0.22935779816513763,0.2018348623853211,0.15126146788990846,0.25688073394495414
HI-Small,txn_with_format,0.005,7616,1523171,1666,361,0.21668667466986793,0.04740021008403361,218,152,0.04267003676470589,0.05225840336134454,0.6422018348623854,0.5779816513761468,0.7018348623853211,0.3532110091743119,0.2889908256880734,0.42201834862385323,0.3577981651376147,0.2981651376146789,0.42201834862385323
HI-Small,txn_with_format,0.01,15232,1523171,1666,537,0.32232893157262904,0.0352547268907563,218,152,0.03230042016806723,0.038340336134453784,0.7614678899082569,0.7064220183486238,0.8165137614678899,0.5045871559633027,0.4402522935779819,0.573394495412844,0.5321100917431193,0.46788990825688076,0.5963302752293578
HI-Small,txn_without_format,0.001,1523,1523171,1666,23,0.013805522208883553,0.015101772816808929,218,152,0.009192383453709783,0.021667760998030205,0.07339449541284404,0.04128440366972477,0.11009174311926606,0.027522935779816515,0.009174311926605505,0.05045871559633028,0.04128440366972477,0.01834862385321101,0.06880733944954129
HI-Small,txn_without_format,0.005,7616,1523171,1666,106,0.06362545018007203,0.013918067226890757,218,152,0.011288734243697484,0.01680672268907563,0.2981651376146789,0.23394495412844038,0.3577981651376147,0.12385321100917432,0.08256880733944955,0.16972477064220184,0.10091743119266056,0.06422018348623854,0.14220183486238533
HI-Small,txn_without_format,0.01,15232,1523171,1666,180,0.10804321728691477,0.011817226890756302,218,152,0.01011029411764706,0.013524159663865547,0.39908256880733944,0.3348623853211009,0.46788990825688076,0.20642201834862386,0.15137614678899083,0.26146788990825687,0.1743119266055046,0.12385321100917432,0.22477064220183487
HI-Small,graph_with_format,0.001,1523,1523171,1666,93,0.05582232893157263,0.06106369008535785,218,152,0.04924491135915955,0.07288246881155613,0.2018348623853211,0.15137614678899083,0.25688073394495414,0.04128440366972477,0.01834862385321101,0.06880733944954129,0.13302752293577982,0.0871559633027523,0.17889908256880735
HI-Small,graph_with_format,0.005,7616,1523171,1666,473,0.28391356542617047,0.06210609243697479,218,152,0.056853991596638655,0.06735819327731092,0.6376146788990825,0.573394495412844,0.7018348623853211,0.3486238532110092,0.28440366972477066,0.41284403669724773,0.3486238532110092,0.28440366972477066,0.4083715596330269
HI-Small,graph_with_format,0.01,15232,1523171,1666,605,0.3631452581032413,0.039719012605042014,218,152,0.03676306460084034,0.04267496060924369,0.6926605504587156,0.6284403669724771,0.7522935779816514,0.4036697247706422,0.3440366972477064,0.46788990825688076,0.44036697247706424,0.37155963302752293,0.5045871559633027
HI-Small,graph_without_format,0.001,1523,1523171,1666,42,0.025210084033613446,0.02757715036112935,218,152,0.01969796454366382,0.036769533814839134,0.13761467889908258,0.09174311926605505,0.1834862385321101,0.009174311926605505,0.0,0.022935779816513763,0.11467889908256881,0.07339449541284404,0.16055045871559634
HI-Small,graph_without_format,0.005,7616,1523171,1666,103,0.06182472989195678,0.013524159663865547,218,152,0.010898109243697478,0.016150210084033615,0.26146788990825687,0.20642201834862386,0.3211009174311927,0.05963302752293578,0.03211009174311927,0.09174311926605505,0.16055045871559634,0.11467889908256881,0.21112385321100857
HI-Small,graph_without_format,0.01,15232,1523171,1666,111,0.0666266506602641,0.007287289915966387,218,152,0.005908613445378151,0.00860031512605042,0.26146788990825687,0.2018348623853211,0.3165137614678899,0.05963302752293578,0.03211009174311927,0.09174311926605505,0.16055045871559634,0.11467889908256881,0.20653669724770582
