split,model,stage,seconds
HI-Small,graph_features,rebuild,2.386339249991579
HI-Small,gradient_boosting,retrain_all_4_variants,27.20237829198595
HI-Small,gnn_with_format,train,39.82382645897451
HI-Small,gnn_with_format,inference,0.5653499169857241
HI-Small,gnn_without_format,train,38.26522262499202
HI-Small,gnn_without_format,inference,0.6902705409738701
